news_id,news_title,review_title,rating,num_satisfactory
story_reviews_00090,Roche's Tecentriq cocktail adds to lung cancer survival success,Reuters lets Roche make data-free claims about drug’s impact on lung cancer survival,2,4
story_reviews_00091,Modified Pap tests can show early warning signs of other gynecological cancers,Significant conflicts of interest not disclosed in LA Times story on modified Pap tests,3,5
story_reviews_00092,Is kratom a safe herbal remedy or a dangerous opioid?,"Inquirer provides balanced and complete summary of debate over kratom, an herbal opioid",5,10
story_reviews_00093,DMAU: MALE BIRTH CONTROL PILL OFFERS 'UNPRECEDENTED' STUDY RESULTS,"Like so many news stories before it, Newsweek article makes male birth control pill sound imminent",3,6
story_reviews_00094,A Surgery-Free Fix for Bad Knees?,Is an unfinished pilot study of 8 patients really newsworthy?,3,5
story_reviews_00095,FDA takes fresh step towards curbing U.S. nicotine addiction,How strong is the evidence behind FDA’s proposal to reduce nicotine levels in cigarettes? Reuters story doesn’t say,3,6
story_reviews_00096,Three-in-One Pill Shows Promise in Beating High Blood Pressure,"Blood pressure pill shows promise compared to ‘usual care,’ HealthDay says, never explaining what that is",1,1
story_reviews_00097,"Menopause 'hot flash' medicine could cut symptom by three quarters, trial shows","In rehash of news release, ABC News glosses over realities of experimental menopause drug",2,3
story_reviews_00098,How barbershops could help lower blood pressure,A pat on the back to CNN for its well-written story on barbershops and blood pressure,5,8
story_reviews_00099,Test risk of breast cancer from home with new FDA-approved DNA kit by 23andMe,USA Today rehashes PR talking points in story on at-home breast cancer gene test,1,2
story_reviews_00100,Alcoholics Anonymous works for some people. A new study suggests the alternatives do too.,Vox thoroughly covers study on treatment alternatives to Alcoholics Anonymous,5,8
story_reviews_00101,This Chef Lost 50 Pounds And Reversed Pre-Diabetes With A Digital Program,NPR story about online weight loss program left out a key detail: How much does it cost?,3,4
story_reviews_00102,What’s in the IV bag? Studies show safer option than saline,AP’s widely-reported story on IV fluids oversimplified the research,3,6
story_reviews_00103,Less-invasive heart valve replacement tied to better quality of life,"Though it may improve symptoms, minimally invasive heart valve surgery is not without risks",2,4
story_reviews_00104,GOOGLE RETINAL SCANS CAN PREDICT IF YOU WILL HAVE A HEART ATTACK,Retinal scans to detect heart attack risk? Newsweek offers a blurry picture,2,3
story_reviews_00105,"ANTIDEPRESSANTS DO WORK, AND MANY MORE PEOPLE SHOULD TAKE THEM: MAJOR INTERNATIONAL STUDY",Newsweek headline overreaches with assertion that “many more” should take antidepressants,2,3
story_reviews_00106,"New test can detect autism in children, scientists say","Guardian trumpets a test to diagnose autism, but where’s the evidence?",1,1
story_reviews_00107,FDA approves first blood test for concussion,CNN wrongly reports that a new blood test can “help detect concussion”,3,5
story_reviews_00108,"Alzheimer's disease reversed in mice, offering hope for humans, new research shows",ABC downplays gloomy context in reporting ‘remarkable’ BACE1 finding for Alzheimer’s,1,2
story_reviews_00109,Could this experimental drug stop the flu in 24 hours?,Could this be a perfect example of health news clickbait?,2,2
story_reviews_00110,This UV Lamp Could Prevent the Flu Virus From Spreading in Public Places,A flu-killing UV lamp? TIME overreaches about the state of the science,2,4
story_reviews_00111,Shining a Deadly New Light on Airborne Flu Virus,HealthDay speculates about flu-fighting abilities of UVC light,2,3
story_reviews_00112,Gone With A Shot? Hopeful New Signs Of Relief For Migraine Sufferers,"Emerging migraine treatments: NPR story deftly weighs the good, the bad and the unknowns",4,8
story_reviews_00113,Early Prostate Cancer Kept at Bay in Two Studies for High-Risk Men,Disease-mongering dogs Bloomberg’s story on prostate cancer drugs,3,6
story_reviews_00114,Do Standing Desks Really Help You Lose Weight?,Bloomberg highlights modest weight loss benefit from standing desks study. Missing: a focus on better alternatives,2,3
story_reviews_00115,Brain 'Pacemaker' Might Help Slow Alzheimer’s,An Alzheimer’s study that included just 3 people: Does that warrant consumer news coverage?,3,6
story_reviews_00116,Could hyperbaric treatment heal the brain?,Washington Post story on hyperbaric therapy for head injuries notes uncertain benefit–but not potential harms,3,5
story_reviews_00117,New Findings Could Save Lives of More Stroke Patients,"Though it may reduce impact of a stroke, blood clot removal surgery is not without risks",3,5
story_reviews_00118,"Sleep apnea patient finds rest with implant device: ""It saved my life""",Doctor with industry ties call sleep apnea device ‘revolutionary’ and ‘a game changer’ in CBS News story,1,2
story_reviews_00119,New approach to abdominal aortic aneurysm saves lives,High-tech buzzwords and scary patient anecdote dominate NBC’s story on ‘new approach’ for aortic aneurysms,1,2
story_reviews_00120,Scientists Edge Closer To A Blood Test To Detect Cancers,"Cautious, independent voices help round out NPR’s look at experimental blood test for cancer",5,9
story_reviews_00121,US OKs 1st drug aimed at women with inherited breast cancer,"‘It’s unknown whether treatment increases survival,’ AP wisely notes about new breast cancer drug",3,6
story_reviews_00122,'Bone Cement': A Non-Surgical Option for Painful Joints?,HealthDay’s piece on ‘bone cement’ doesn’t hold together,1,2
story_reviews_00123,Stem Cells for Knee Problems? U.S. Doctors Investigate,"Stem cells for knee problems: WSJ doesn’t explore costs, harms, alternatives",3,5
story_reviews_00124,Bariatric Surgery Helps Teens With Severe Obesity Reduce Heart Disease Risk,NPR’s story on weight loss surgery in teens: Cost info would have improved a well-reported story,4,8
story_reviews_00125,"Gene therapy for rare retinal disorder to cost $425,000 per eye","CNN wisely challenges $425,000 price for gene therapy, but what about the claims of effectiveness?",3,6
story_reviews_00126,Drinking hot tea linked to lowered glaucoma risk,Reuters Health story on glaucoma and drinking hot tea skims over study limitations,4,5
story_reviews_00127,"People With Mild Cognitive Impairment Should Exercise Twice a Week, Research Says",Exercise and mild cognitive impairment: How solid is the evidence? U.S. News doesn’t say,3,4
story_reviews_00128,Do you take calcium and vitamin D to protect your bones? A new study says it doesn't help,LA Times provides strong overview on study showing vitamin D and calcium supplements don’t prevent fractures,4,6
story_reviews_00129,ADHD Stimulants Might Help a Smoker With the Disorder Cut Back on Cigarettes,Little evidence to support assertion in U.S. News story that ADHD drugs can help smokers quit,3,4
story_reviews_00130,Could A Zap To The Brain Derail Destructive Impulses?,No discussion of risks in NPR’s look at brain-zapping implants to treat destructive impulses,3,6
story_reviews_00131,"Antibiotics could dramatically reduce STIs, study says, raising tough new questions","Antibiotics could ‘dramatically reduce’ STIs, STAT says, though findings apply to small group of men",3,6
story_reviews_00132,"Migraines plague millions, especially women. Now there's new hope",Philadelphia Inquirer story skirts discussion of evidence for experimental migraine drug,3,5
story_reviews_00133,"Get Active, Beat Lymphoma?","HealthDay parrots another news release, this time overstating benefits of exercise for lymphoma",2,2
story_reviews_00134,Gene therapy makes a big advance treating hemophilia B blood disorder,Gene therapy and hemophilia: Washington Post wisely tells readers ‘the study has some limitations’,4,8
story_reviews_00135,Open windows and doors can improve sleep quality,"A short, small study can’t prove opening doors or windows improves sleep quality",3,4
story_reviews_00136,"Weight Loss Really Can Reverse Diabetes, New Study Finds","When weight loss is the intervention, it’s still important to talk about costs and harms",3,6
story_reviews_00137,Radiofrequency therapy relieved herniated disc pain in new study,Outside experts help round out NBC’s report on minimally invasive back pain procedure,3,7
story_reviews_00138,"Migraine drug could halve the length of attacks, study shows",Guardian story on new migraine drug never establishes why it’s ‘an important step forward’,2,4
story_reviews_00139,Fecal transplant via a pill? Newsweek’s coverage points out possible selection bias of study participants,Fecal transplant via a pill? Newsweek’s coverage points out possible selection bias of study participants,4,7
story_reviews_00140,Replacing lymph nodes to ease painful legacy of cancer care,Patient anecdote outweighs data in AP’s look at lymph node transfer surgery,3,5
story_reviews_00141,"Want to Live Longer? Every Movement Counts, Even Cleaning the House",Be wary of news headlines promising to unlock secrets of ‘living longer’,2,3
story_reviews_00142,"Spit test may diagnose, predict duration of concussion in kids",Spit test for concussion detection: CNN story includes some important caveats,4,7
story_reviews_00143,More than 103 million Americans will have high blood pressure under new guidelines,"Skimpy, source-free ABC News story on new blood pressure guidelines unlikely to help readers much",3,4
story_reviews_00144,"Some opioid addiction drugs harder to start than others, study finds",CNN is clear on the comparative benefits of two drugs for opioid use disorder,3,6
story_reviews_00145,"Regular painkillers work as well as opioids for sprains, strains and fractures","‘Regular painkillers work as well as opioids for fractures,’ but is this new information?",3,6
story_reviews_00146,"IUDs Are Linked To A Lower Cervical Cancer Risk, Study Finds",BuzzFeed story on IUDs and cervical cancer warns readers ‘these are observational studies’,3,6
story_reviews_00147,Blood From Young People Safe and Just Might Help Alzheimer’s Patients,Preliminary Alzheimer’s study involving plasma infusions–was this really newsworthy?,3,6
story_reviews_00148,‘Unbelievable’: Heart Stents Fail to Ease Chest Pain,"NYT dives deep into potential impact of stent study, but needed more specifics on what was measured",4,8
story_reviews_00149,Study Raises Questions About Stents in Some Heart Patients,"WSJ’s look at stent study: Solid reporting, with room for more detail on costs and risks",4,8
story_reviews_00150,First test of anti-epilepsy surgeries in children shows dramatic benefit,‘Dramatic benefit’ of surgery in kids with epilepsy–potential harms clearly outlined,4,7
story_reviews_00151,Can Vitamin A Help With My COPD?,U.S. News & World Report story on COPD and vitamin A left us wondering ‘what’s the news?’,4,6
story_reviews_00152,Blood Thinners May Also Protect Brains of A-Fib Patients,HealthDay’s rehashed news release overstates dementia benefits of blood thinners,2,3
story_reviews_00153,New Treatment for Fibroids Without Surgery,"Plenty of context, but evidence was AWOL in WSJ story on uterine fibroid treatment",4,7
story_reviews_00154, FDA approves better vaccine against painful shingles virus,Brief but informative report from AP on newly approved shingles vaccine,3,6
story_reviews_00155,Cutting-edge immunotherapy treatment approved for another deadly cancer,Washington Post wisely quantifies severe side effects and deaths from CAR-T cell therapy,3,6
story_reviews_00156,MUSCULAR DYSTROPHY: HEARTBROKEN FAMILY AWAITS FDA DECISION ON EXPERIMENTAL DRUG,"Readers will be swept in by Newsweek’s story on pending muscular dystrophy drug, but what does the evidence show?",4,7
story_reviews_00157,Ebola Vaccines Show Promise in New Study,WSJ wisely reports on Ebola vaccines: ‘It is unknown…what antibody levels are needed to protect patients’,4,6
story_reviews_00158,Breast Cancer Screenings Still Best for Early Detection,HealthDay rehashes news release in uncritical look at breast cancer screening,2,3
story_reviews_00159,Hate UTIs? One Simple Step Can Cut the Risk,"Drink more water to reduce UTI risk, urge researchers who work for Evian’s manufacturer",3,4
story_reviews_00160,"In a First, Gene Therapy Halts a Fatal Brain Disease",New York Times is upfront about risk of ‘absolutely crazy’ prices for gene therapy treatment,4,7
story_reviews_00162,Just One Hour of Exercise a Week May Help Prevent Depression,‘May help’…’may prevent:’ Conditional statements water down TIME’s look at exercise and depression study,3,4
story_reviews_00163,FDA OKs continuous blood sugar monitor without finger pricks,AP’s write-up on a new continuous blood sugar monitor–where’s the proof that it works?,3,5
story_reviews_00164,Study: Whooping cough vaccination during pregnancy protects newborns,Study limitations needed more attention in Inquirer’s look at whooping cough vaccine study,4,6
story_reviews_00165,Researchers identify CTE biomarker that may lead to diagnosis while alive,CNN speculates about benefits of preliminary research finding on potential CTE biomarker,4,6
story_reviews_00166,This Test Can Determine Whether You've Outgrown A Food Allergy,Independent source bolsters NPR’s report on oral food challenges for allergies,4,7
story_reviews_00167,Strange but true: Sleep deprivation can help depression. Penn scientists want to know why,Sleep deprivation for depression: Philadelphia Inquirer gives readers needed context on study limitations,4,7
story_reviews_00168,HOW TO LOSE WEIGHT: TWO-WEEK DIET BETTER FOR DROPPING POUNDS,Is one study of 51 men enough to declare the ‘two-week diet’ is better for dropping pounds?,3,4
story_reviews_00169,The big question: Will cancer immune therapy work for me?,AP’s story on cancer immunotherapy quickly mentions low success rate,4,6
story_reviews_00170,What to know about the new affordable at-home BRCA genetic mutation test,ABC News touts affordability of at-home BRCA test without delving into any drawbacks,3,5
story_reviews_00171,New Product Is First to Claim It May Reduce Peanut Allergies,Solid report from NYT on peanut product that claims to reduce allergy risk,5,9
story_reviews_00172,Menopause hormone therapy not linked to premature death,Reuters Health deftly reports new data on hormone therapy for menopause,5,8
story_reviews_00173,Fecal Occult Stool Tests for Colorectal Cancer Screening,"U.S. News compares accuracy of colon cancer screening tests, but what about costs?",3,5
story_reviews_00174,"Statins cut the risk of heart disease death by 28% among men, study shows",Guardian leaves out a key potential conflict of interest in story on statin study,2,3
story_reviews_00175, Immune-Focused Drug May Be New Weapon Against Advanced Melanoma,HealthDay cautiously reports results of Opdivo melanoma study,4,8
story_reviews_00176,A new study claims prostate cancer screenings significantly reduce deaths. Not everyone agrees,STAT provides readers with necessary details to make sense of new PSA screening study,4,8
story_reviews_00177,"PSA screening for prostate cancer saves lives after all, study says",LA Times portrays PSA screening analysis as far more clear-cut and definite than even the authors claim,3,5
story_reviews_00178,NO LAUGHING MATTER: NITROUS OXIDE REAPPEARS IN US AMBULANCES,Anecdotes dominate AP’s story on EMTs using nitrous oxide for pain relief,3,5
story_reviews_00179,"Ecstasy could be ‘breakthrough’ therapy for soldiers, others suffering from PTSD",Washington Post’s otherwise well-reported story on ecstasy for PTSD skirts evidence discussion,4,7
story_reviews_00180,A New Drug Lowers Risk of Heart Attack and Cancer,TIME’s look at new heart drug overlooks high price and potentially fatal risks,3,5
story_reviews_00181,"Novartis hopeful for novel heart drug, despite 'modest' benefit","In coverage of anti-inflammatory heart drug from Novartis, Reuters keeps it real",4,7
story_reviews_00182,Adamas Pharma secures approval for Parkinson's dyskinesia drug,Reuters doesn’t dig deep enough into FDA’s approval of ‘new’ Parkinson’s drug Gocovri,2,4
story_reviews_00183,Is This Treatment the Cure for Hair Loss?,NY Times touts ‘compelling’ results for unproven hair loss product,3,5
story_reviews_00184,A New Therapy May Cure Kids of Peanut Allergy,"New therapy may ‘cure’ peanut allergy, TIME unwisely speculates (again)",2,4
story_reviews_00185,Blood Test Finds Cancer Before Symptoms Start,NBC News doesn’t back away from shortcomings of new blood test for early cancer detection,5,10
story_reviews_00186,Silicon Valley Startup Grail Sees Hope for Cancer Blood Test,Strong recap on cancer blood test should have challenged survival claims,4,7
story_reviews_00187,New ALS drug Radicava comes with new questions as well,ABC News story on new ALS drug Radicava included many caveats–except the most important one,3,5
story_reviews_00188,Finding the Right Medication: Gene Test May Help Treat Depression,"NBC News says gene test ‘may help treat depression,’ but doesn’t back up claim",2,4
story_reviews_00189,"Flattening The 'Mummy Tummy' With 1 Exercise, 10 Minutes A Day",Managing ‘mummy tummy:’ More study details would’ve tightened informative NPR piece,3,5
story_reviews_00191,Novel Procedure Improves Kidney Transplant Success,Cautious tone underpins HealthDay’s story on experimental treatment to reduce kidney transplant rejection,4,8
