word,log_odds_ratio
apps,-0.01436
april,-0.29434
arab,-0.10114
arabia,-0.10114
area,-0.06806
areas,-0.12779
aren,-0.20683
argentina,-0.10114
argue,-0.571
argued,-0.67085
argument,-0.40402
arm,-0.41514
armenia,-0.10114
arms,-0.14644
army,-0.54484
around,0.08073
arrived,-0.3689
arteries,0.03664
artery,-0.00755
arthritis,0.19284
article,-0.09571
artificial,0.62146
aruba,-0.13369
ask,-0.37392
asked,-0.11861
asking,-0.52197
asks,-0.59095
asleep,0.06
aspect,-0.54484
aspects,-0.01436
aspirin,-0.17028
assess,-0.06726
assessed,-0.03585
assessment,0.08567
assessments,0.335
assigned,-0.45531
assistant,-0.28512
assisted,-0.06587
associate,-0.23337
associated,-0.15675
association,-0.39921
associations,-0.11198
asthma,0.0043
ate,-0.15493
athletes,-0.19189
atlanta,-0.06587
attached,-0.3689
attack,-0.13515
attacks,-0.22151
attempt,-0.11198
attempts,0.06997
attending,-0.54484
attention,-0.2777
august,-0.46689
australia,-0.14701
australian,-0.02787
austria,-0.10114
author,-0.09258
authored,-0.67085
authors,-0.23157
autism,0.37073
autoimmune,-0.08705
available,-0.29046
average,-0.17526
averaged,0.23717
avoid,-0.01756
avoided,-0.70598
avoiding,-0.49726
aware,-0.35255
awareness,0.01394
away,-0.07543
azerbaijan,-0.10114
babies,-0.08295
baby,-0.18419
back,-0.15499
backed,-0.52197
background,0.23795
bacteria,0.03522
bacterial,0.20935
bad,-0.09696
bahamas,-0.10114
bahrain,-0.10114
balance,-0.11364
baltimore,-0.54484
band,-0.59095
bangladesh,-0.10114
barbados,-0.10114
barbuda,-0.10114
barely,-0.19137
barrier,-0.10114
base,-0.289
based,-0.25988
baseline,-0.33075
basic,-0.47841
basically,0.14075
basis,-0.12556
bathroom,-0.19137
battery,-0.289
battle,0.23874
bay,-0.31231
beans,0.04399
beat,0.30583
became,-0.15141
become,-0.07575
becomes,0.07773
becoming,-0.33288
bed,-0.17459
began,-0.53524
begin,-0.13313
beginning,-0.13642
begins,-0.22701
begun,-0.21909
behavior,-0.08044
behavioral,-0.23451
behaviors,-0.06633
behind,-0.13178
belarus,-0.10114
belgium,-0.14644
belief,-0.06602
believe,-0.02151
believed,-0.18242
believes,-0.24711
belize,-0.10114
beneficial,-0.39614
benefit,-0.18236
benefited,-0.19189
benefits,-0.24645
benign,0.2677
benin,-0.10114
bermuda,-0.13369
besides,-0.31827
best,-0.21817
beta,-0.29076
beth,0.01388
better,-0.21565
beyond,-0.47415
bhutan,-0.10114
bias,-0.67085
big,-0.14073
bigger,-0.03585
biggest,-0.17254
bill,-0.54716
billion,-0.16947
biological,-0.16573
biology,-0.19292
biomarker,-0.33075
biomarkers,0.04426
biomedical,0.29083
biopsies,-0.06587
biopsy,0.14469
biotech,-0.52197
bipolar,-0.01436
birmingham,-0.54484
birth,-0.12558
bissau,-0.10114
bit,-0.42683
black,-0.29076
bladder,-0.06617
bleeding,-0.18574
blind,0.03182
blindness,-0.63271
bloating,-0.01436
block,0.14075
blocked,-0.11198
blocking,-0.08988
blocks,-0.01445
blood,-0.10681
bloodstream,-0.04493
blue,-0.19189
bmi,-0.19137
bmj,-0.40402
board,-0.02812
bodies,-0.35255
body,-0.12782
bolivia,-0.10114
bone,-0.1417
bones,-0.12125
book,-0.59095
books,-0.54484
boost,-0.28048
boosted,0.20935
boosting,0.11172
born,-0.22893
bosnia,-0.10114
boston,-0.29463
botswana,-0.10114
bottom,-0.54484
bought,-0.54484
bouts,-0.01436
bowel,0.05343
box,-0.63576
boy,-0.06587
boys,-0.24288
brain,-0.08069
brains,-0.10213
brand,-0.34196
brazil,-0.03585
break,-0.36132
breaking,0.04399
breaks,-0.01436
breakthrough,-0.13436
breast,-0.13747
breath,0.20362
breathe,0.19183
breathing,-0.06663
brian,-0.22701
brief,-0.30904
brigham,-0.17781
bright,-0.02787
bring,-0.18034
bringing,-0.33075
brings,-0.24288
bristol,0.41512
britain,0.15008
british,-0.21924
broad,0.03664
broader,-0.28988
broken,0.01388
brought,-0.39399
brown,-0.22701
browser,-0.06617
bruce,-0.19137
brunei,-0.10114
build,-0.15493
building,-0.12125
builds,-0.63271
buildup,-0.63271
built,-0.0033
bulgaria,-0.13369
burden,0.2677
burkina,-0.10114
burn,-0.06587
burning,-0.11281
burundi,-0.10114
business,-0.06602
buy,-0.28988
buzzfeed,-0.54484
bypass,-0.52197
c,-0.12556
caffeine,-0.289
caicos,-0.10114
calcium,-0.03585
calculated,-0.15374
caledonia,-0.10114
calif,-0.84911
california,-0.42041
call,-0.33372
called,-0.16673
calling,-0.79724
calls,-0.06695
calorie,-0.49528
calories,-0.01455
cambodia,-0.10114
cambridge,-0.3689
came,-0.23491
camera,-0.54484
cameroon,-0.10114
campaign,-0.19137
campus,0.04399
canada,-0.33026
canadian,-0.76885
cancer,-0.08171
cancerous,0.21649
cancers,-0.05751
candidate,-0.13369
candidates,-0.27355
cannabis,-0.19137
cannot,-0.35726
capable,-0.289
capacity,-0.11198
cape,-0.10114
capital,-0.59095
capsules,-0.54484
caption,-0.55187
car,-0.40688
carbohydrate,-0.59095
carbohydrates,-0.43657
cardiac,-0.12556
cardiologist,-0.37139
cardiology,-0.38726
cardiovascular,-0.33956
care,-0.32239
career,-0.54484
careful,-0.61519
carefully,-0.35255
carolina,0.02674
carried,0.17981
carries,-0.40402
carry,-0.21153
carrying,0.06
case,-0.23337
cases,-0.088
catch,-0.37014
category,-0.16401
catheter,-0.24288
caught,-0.289
cause,-0.22707
caused,-0.11645
causes,-0.09626
causing,-0.19717
caution,-0.33503
cautioned,-0.57609
cautious,-0.43657
caveat,-0.19189
caveats,-0.01436
cayman,-0.10114
cbs,0.52558
cdc,-0.31827
cell,-0.01756
cells,-0.0346
cellular,-0.63271
center,-0.22957
centers,-0.35678
central,-0.19449
centre,0.21796
century,-0.11198
ceo,-0.17781
certain,-0.14623
certainly,-0.23927
certified,-0.09456
cervical,-0.33075
chad,-0.16401
chair,-0.11826
chairman,-0.37265
challenge,-0.30904
challenges,-0.16401
challenging,-0.49528
chance,-0.33942
chances,0.15173
change,-0.1585
changed,-0.00952
changer,0.11172
changes,-0.08031
changing,-0.21924
characterized,0.11151
charge,-0.59095
charity,0.11151
charles,-0.01436
cheap,0.15008
cheaper,0.16445
check,-0.28026
chemical,-0.10313
chemicals,0.03664
chemo,-0.33075
chemotherapy,0.00827
chest,-0.10213
chicago,-0.38579
chicken,0.04399
chief,-0.1308
child,-0.05973
childhood,-0.11888
children,-0.15415
chile,-0.10114
china,-0.27355
chinese,-0.01436
choice,-0.39399
choices,-0.571
cholesterol,-0.12653
choose,-0.16059
chose,-0.59095
chronic,0.10544
cigarette,-0.19189
cigarettes,-0.67085
cincinnati,0.23717
circulating,-0.63271
circulation,-0.10114
cited,-0.24288
city,-0.15587
claim,-0.37014
claims,-0.21153
class,0.03043
classes,-0.33075
classified,-0.63271
clean,-0.54484
clear,-0.46007
cleared,-0.25955
clearly,-0.22156
cleveland,0.01394
click,0.08567
clinic,-0.34602
clinical,-0.15734
clinically,0.03664
clinician,-0.06602
clinicians,-0.35255
clock,0.01388
close,-0.10313
closed,-0.03585
closely,0.08182
closer,-0.00755
clot,-0.09456
clots,-0.02009
clotting,-0.33075
cnn,-0.23504
co,-0.06626
cocktail,0.15784
coffee,-0.49528
cognition,-0.46689
cognitive,0.07963
cold,-0.70976
collaboration,-0.63271
colleagues,-0.22252
collect,-0.33075
collected,-0.33288
collection,-0.19137
college,-0.03913
colombia,-0.13369
colon,-0.16105
colonoscopy,-0.54484
color,-0.06617
colorado,-0.06602
colorectal,-0.02229
colored,0.04399
columbia,-0.51535
com,0.00513
combat,-0.41662
combination,-0.00976
combined,0.02714
combines,0.2677
combining,-0.63271
come,-0.60665
comes,-0.29595
comfortable,-0.34496
coming,-0.15322
comment,-0.22701
comments,-0.11198
commercial,0.01388
commercially,-0.19189
committee,-0.63576
common,-0.16934
commonly,-0.0311
communicate,-0.289
communication,0.04481
community,-0.40627
comoros,-0.10114
companies,-0.21294
company,-0.15542
compare,0.11278
compared,-0.25789
comparing,-0.41662
comparison,-1.10409
compelling,-0.40402
complementary,-0.24288
complete,0.17748
completed,-0.40688
completely,-0.05466
complex,-0.08473
complicated,-0.39399
complication,-0.289
complications,-0.29525
component,-0.04114
components,0.15008
compound,-0.03625
compounds,0.00608
comprehensive,-0.27745
compulsive,-0.01436
computer,0.27604
concentration,-0.0033
concentrations,-0.11198
concept,-0.1924
concern,-0.95498
concerned,-0.06648
concerns,-0.20665
conclude,0.2677
concluded,-0.28298
concludes,-0.289
conclusion,-0.43818
conclusions,-0.3258
conclusive,-0.02787
concrete,-0.19137
condition,0.03004
conditions,-0.04024
conduct,-0.03585
conducted,-0.53524
conducting,-0.01436
conference,0.03522
confidence,-0.25955
confirm,-0.05839
confirmation,-0.14644
confirmed,0.08873
confirms,-0.01436
confusion,-0.3689
congo,-0.10114
congress,0.07681
connected,-0.63271
connection,-0.21447
connections,-0.3689
consequences,-0.39399
consider,-0.49378
considerable,-0.33075
considered,-0.26972
considering,-0.25471
consistent,-0.35255
constant,0.20935
constipation,-0.3689
consult,0.11151
consultant,0.16445
consulted,-0.19137
consume,-0.31231
consumed,0.03664
consumer,-0.67085
consumers,-0.12125
consuming,-0.19344
consumption,-0.09855
contact,0.00734
contain,-0.25342
contained,-0.15374
containing,-0.0671
contains,-0.19449
content,-0.59364
continue,-0.16432
continued,-0.10313
continues,-0.49528
continuing,-0.06617
continuous,-0.67085
contraceptive,-0.54484
contrast,-0.42364
contribute,-0.01445
control,-0.17238
controlled,-0.16678
controlling,-0.11198
controls,-0.33288
controversial,-0.54716
controversy,-0.06602
conventional,0.08567
conversation,-0.54716
convinced,-0.49528
cook,-0.14644
cookie,-0.31827
cookies,-0.34496
coordination,0.06
cope,0.2677
cord,-0.24428
core,-0.24288
coronary,0.14075
corp,-0.19137
correct,-0.09017
corrections,-0.70598
correctly,-0.28988
cost,-0.31279
costa,-0.0033
costly,-0.1924
costs,-0.38897
cote,-0.10114
cough,0.04399
could,-0.11693
couldn,-0.06726
counseling,-0.89559
count,-0.40402
counter,-0.25342
countries,-0.29434
country,-0.33942
couple,-0.10944
course,-0.15863
courtesy,-0.06587
cover,-0.33026
coverage,-0.63576
covered,-0.15613
cravings,-0.24288
create,-0.08295
created,-0.00049
creates,0.03182
creating,-0.59095
crisis,-0.40402
criteria,-0.54716
critical,-0.14365
critics,-0.33075
croatia,-0.10114
crucial,-0.01445
ct,-0.01445
cuba,-0.13369
cup,-0.24428
cups,-0.54484
cure,-0.02889
cured,-0.21909
curing,-0.54484
current,-0.11031
currently,-0.08808
customized,-0.54484
cut,-0.22058
cutting,-0.31231
cycle,0.07681
cycles,-0.06602
cyprus,-0.10114
czech,-0.0033
daily,-0.29265
dairy,0.11172
damage,0.02277
damaged,0.02397
damaging,0.15784
dana,0.23717
dangerous,-0.34734
daniel,-0.54484
danish,-0.63271
dark,-0.26812
darussalam,-0.10114
data,-0.23341
database,-0.73852
date,-0.24569
daughter,0.25571
david,-0.16092
davis,-0.01436
day,-0.17339
days,-0.12117
dead,-0.15374
deadly,-0.33288
deal,-0.10213
death,-0.18518
deaths,-0.46916
debate,-1.06024
debilitating,0.07448
dec,-0.19189
decade,-0.32128
decades,-0.27186
december,0.01394
decided,-0.30604
deciding,-0.70598
decision,-0.1113
decisions,0.014
decline,-0.07953
declined,-0.35255
decrease,-0.03429
decreased,-0.11888
decreases,-0.3689
deemed,-0.67085
deep,-0.09571
defects,-0.24288
defense,-0.01436
deficiency,-0.11198
deficit,0.16986
defined,-0.52197
definitely,0.04426
definitive,-0.24428
degenerative,-0.59095
degree,-0.06617
degrees,-0.15374
delay,-0.65543
delayed,0.03182
deliver,-0.56566
delivered,-0.62512
delivering,-0.289
delivers,-0.06602
delivery,-0.89559
demand,-0.33075
dementia,0.24276
democratic,-0.10114
demonstrate,-0.49528
demonstrated,0.32792
demonstrates,0.2677
denmark,-0.25471
dennis,-0.10114
density,-0.25955
department,-0.09283
depend,0.04399
dependent,-0.19137
depending,-0.3213
depends,-0.11198
depressed,-0.17028
depression,-0.10519
depressive,0.2677
deputy,-0.73852
derived,-0.10114
describe,-0.46689
described,-0.02461
describes,-0.01436
design,-0.17459
designed,0.08435
designing,0.23717
desperate,-0.0033
despite,-0.40862
destroy,0.07681
destroying,0.23717
detail,-0.01436
detailed,-0.06617
details,-0.33503
detect,0.32227
detected,-0.08473
detecting,-0.19189
detection,-0.06648
determine,-0.06033
determined,-0.14644
determining,-0.06587
devastating,-0.06602
develop,-0.02436
developed,-0.11447
developing,-0.065
development,0.0608
developmental,-0.21909
device,-0.17154
devices,-0.1113
diabetes,-0.258
diagnose,-0.13504
diagnosed,0.0315
diagnoses,-0.14644
diagnosis,-0.03607
diagnostic,0.051
diarrhea,-0.06648
didn,-0.23057
die,-0.40084
died,-0.22585
diego,-0.43818
diet,-0.13629
dietary,-0.56418
diets,-0.26715
differ,-0.54484
difference,-0.4371
differences,-0.11449
different,-0.1873
differently,-0.43657
difficult,-0.05308
difficulties,0.23717
difficulty,-0.06633
digestive,-0.17028
digital,-0.33075
direct,-0.13436
direction,0.16986
directly,-0.17254
director,-0.26014
directs,-0.10114
disability,-0.06633
disappear,-0.15374
discomfort,-0.06617
discover,-0.19137
discovered,-0.09339
discovery,0.29083
discuss,-0.11281
discussion,-0.19189
disease,-0.11317
diseases,0.01475
disorder,0.03747
disorders,0.00808
distance,-0.01436
distinguish,0.06
distress,0.06997
divided,0.11151
division,-0.53275
dizziness,-0.11198
djibouti,-0.10114
dna,-0.10944
doctor,-0.1264
doctors,-0.04691
doesn,-0.23782
dog,-0.24288
dollars,-0.34196
dominica,-0.10114
dominican,-0.10114
done,-0.14027
donor,-0.24288
door,-0.06587
dopamine,-0.54484
dosage,0.01388
dose,-0.14377
doses,-0.33303
dosing,-0.289
double,-0.15064
doubled,-0.10114
downsides,-0.63271
dozen,-0.45874
dozens,-0.67085
dr,-0.18925
dramatic,-0.01445
dramatically,0.051
drank,-0.40402
draw,-0.10114
dried,0.16986
drink,-0.69237
drinkers,-0.24288
drinking,-0.33288
drinks,-0.76885
drive,-0.04493
driven,-0.22701
driving,0.21796
drop,-0.15613
dropped,-0.63885
drops,0.06
drug,-0.19061
drugmaker,0.41685
drugs,-0.18076
dry,-0.03585
dryness,0.23717
due,-0.29463
duke,-0.19292
dummy,-0.54484
duration,-0.02229
dying,-0.31831
dysfunction,-0.289
earlier,-0.17793
earliest,0.30583
early,-0.08709
ease,-0.21153
easier,0.17786
easily,0.13083
eastern,-0.19137
easy,-0.19556
eat,-0.11054
eating,-0.08354
economic,0.23717
ecuador,-0.16401
edge,-0.29076
editor,-0.15374
editorial,-0.5834
editors,0.31219
education,-0.11826
effect,-0.3321
effective,-0.16198
effectively,0.14469
effectiveness,-0.12365
effects,-0.23809
efficacy,-0.04565
efficiency,0.04399
efficient,0.21796
effort,-0.23504
efforts,-0.3258
egg,-0.0033
eggs,0.19183
egypt,-0.0033
eight,-0.35868
either,-0.28286
el,-0.10114
elderly,-0.25955
electric,-0.67085
electrical,-0.09017
electrodes,-0.59095
electromagnetic,0.41454
electronic,0.23795
elevated,-0.06602
eligible,-0.31827
eliminate,-0.22701
eliminated,-0.06587
elizabeth,-0.15374
else,-0.16573
elsewhere,-0.73852
email,-0.45531
emails,-0.70598
emergency,-0.19397
emerging,-0.16401
emirates,-0.10114
emotional,-0.39399
emotions,-0.19137
emphasizes,-0.06587
empty,-0.70598
en,-0.15027
enable,-0.01436
encourage,-0.24569
encouraged,-0.17028
encouraging,-0.12558
end,-0.10637
ended,-0.25471
endometrial,0.04399
ends,-0.33075
energy,0.16072
engage,0.16986
engineering,-0.06587
england,-0.25677
enhance,-0.06602
enlarge,-0.50126
enormous,0.16986
enough,-0.24562
enrolled,0.051
ensure,-0.13369
enter,-0.24711
entered,-0.21447
entering,0.59192
entire,-0.21153
entirely,-0.72652
environment,-0.12556
environmental,-0.02787
enzyme,-0.10114
epidemic,-0.40402
epidemiologist,-0.70598
epidemiology,-0.43657
epilepsy,-0.06633
episode,-0.01436
episodes,0.15784
equal,-0.3689
equally,-0.11198
equatorial,-0.10114
equipment,0.04426
equivalent,0.19183
era,0.2677
eric,-0.21447
eritrea,-0.10114
error,-0.84911
espa,-0.14177
especially,-0.20749
essential,-0.45874
essentially,-0.30904
establish,-0.15374
established,-0.25471
estimate,-0.89559
estimated,-0.01484
estimates,-0.33026
estonia,-0.10114
estrogen,-0.10671
et,-0.24288
ethiopia,-0.10114
europe,-0.40688
european,0.16072
evaluate,-0.67427
evaluated,-0.49726
evaluation,-0.82393
even,-0.1309
evening,-0.19137
event,-0.1924
events,-0.24225
eventually,-0.18118
ever,-0.19609
every,-0.21133
everybody,0.15784
everyday,-0.16401
everyone,-0.10894
everything,0.15794
evidence,-0.30794
evolved,0.16986
exact,-0.28988
exactly,-0.09855
exam,0.11172
examination,-0.24288
examine,-0.06587
examined,0.03899
examining,0.01388
example,-0.31403
excellent,-0.01436
except,-0.01445
excess,-0.73852
excessive,0.23795
excited,0.15927
exciting,-0.06758
executive,-0.20596
exercise,-0.02215
exercises,0.14075
exercising,-0.1924
existing,0.05805
exists,-0.54484
expand,-0.10114
expanded,-0.06587
expect,-0.05466
expected,-0.13783
expects,0.01394
expensive,-0.26418
experience,-0.14897
experienced,-0.26987
experiences,-0.54716
experiencing,0.35092
experiment,-0.21909
experimental,-0.14897
experiments,-0.45874
expert,-0.23891
experts,-0.30792
explain,-0.17459
explained,-0.22493
explains,-0.49528
explore,0.11214
explored,-0.54484
exploring,-0.19189
exposed,-0.34196
exposing,-0.33075
exposure,-0.006
expressed,-0.15374
extend,0.06997
extended,-0.571
extensive,-0.41662
extent,-0.82393
extra,-0.63885
extract,-0.19189
extreme,-0.0033
extremely,-0.02009
eye,0.04983
eyes,-0.27355
face,-0.21748
facebook,-0.37392
faced,-0.10114
facility,-0.289
fact,-0.06317
factor,-0.21614
factors,-0.1543
faeroe,-0.10114
fail,-0.06602
failed,-0.00338
failure,-0.35327
fairly,-0.65543
fake,-0.59095
falkland,-0.10114
fall,-0.35327
false,-0.61519
familiar,0.11151
families,-0.00334
family,0.00249
far,-0.17535
fared,-0.79724
faso,-0.10114
fast,-0.39614
faster,0.04481
fat,-0.19663
fatal,-0.41514
father,-0.43657
fatigue,-0.06663
fats,-0.06617
fatty,-0.63885
favor,-0.31827
fda,0.02059
fear,-0.27355
features,0.23717
feb,-0.01436
february,0.08567
fed,0.20935
federal,-0.30715
federation,-0.1924
feed,-0.73852
feedback,0.335
feeding,-0.67085
feel,-0.03797
feeling,-0.25847
feelings,-0.21909
feels,-0.37014
feet,0.11193
feinberg,-0.19137
fell,-0.37139
fellow,0.16445
felt,0.0196
female,0.03182
fertility,0.11214
fetus,-0.33075
fever,0.11214
fewer,-0.24208
fiber,-0.06602
field,-0.23491
fifth,-0.54484
fight,0.17013
fighting,0.03664
figure,-0.23451
figured,-0.15374
fiji,-0.10114
file,0.51505
fill,0.2677
filled,-0.53275
final,-0.08705
finally,-0.15613
financial,-0.33288
find,-0.14385
finding,0.03192
findings,-0.14574
finds,-0.21614
fine,-0.24428
finland,-0.29076
firm,0.34474
first,-0.13843
fish,-0.15064
fit,-0.97623
fitness,0.02674
fits,0.06997
five,-0.18681
fix,-0.06633
fla,-0.15374
flash,-0.54484
flashes,0.02674
floor,-0.59095
florida,-0.12125
flow,-0.15613
flu,0.06997
fluid,-0.34196
focus,-0.22807
focused,-0.03429
focuses,-0.1924
focusing,0.11172
folder,-0.10114
folks,-0.59095
follow,-0.23554
followed,-0.1789
following,0.12557
follows,-0.24288
food,-0.17384
foods,-0.19717
foot,-0.67085
force,-0.28048
foreign,-0.11198
forget,-0.289
form,-0.14557
formed,-0.59095
former,-0.34836
forming,-0.54484
forms,0.12824
formula,-0.33075
forward,0.17354
found,-0.09162
foundation,-0.30514
founded,-0.46689
founder,-0.17459
four,-0.1307
fourth,-0.43657
foxnews,0.85985
fracture,-0.24288
fractures,-0.15374
france,0.03664
francisco,-0.69971
free,-0.28244
french,-0.19292
frequency,-0.21447
frequent,-0.49925
frequently,-0.23927
fresh,-0.25955
friday,-0.26812
friend,-0.06602
friends,-0.08473
front,0.03664
frozen,-0.11198
fruit,0.11193
fruits,-0.17028
frustrated,-0.54484
full,-0.22058
fully,-0.47049
function,-0.01711
functional,-0.01445
functioning,-0.19189
functions,-0.09456
fund,-0.01436
funded,-0.24017
funding,-0.12825
futuna,-0.10114
future,-0.06905
gabon,-0.10114
gain,-0.61096
gained,-0.43657
gaining,-0.24288
gambia,-0.10114
game,0.11278
games,-0.01436
gap,0.20935
gary,-0.59095
gas,0.04399
gastric,-0.59095
gastrointestinal,0.00155
gave,-0.7136
gender,-0.06587
gene,0.09032
general,-0.24873
generally,-0.16681
generated,-0.24288
generation,-0.25471
generic,-0.87296
genes,-0.40979
genetic,0.06249
genetically,-0.10114
genetics,0.014
george,-0.49528
georgetown,-0.63271
georgia,-0.21447
germany,0.03899
get,-0.18855
gets,-0.34734
getting,-0.30246
getty,-0.07953
ghana,-0.10114
giant,0.04399
gibraltar,-0.10114
girl,-0.19189
girls,-0.02787
give,-0.28145
given,-0.10847
gives,-0.02812
giving,-0.29525
gland,0.2677
glass,-0.52197
global,0.05343
glucose,-0.13436
gluten,0.59192
go,-0.08783
goal,0.07211
goals,-0.01445
goes,-0.32439
going,-0.3411
gold,-0.37014
gone,-0.33026
good,-0.12439
got,-0.27049
gotten,-0.04114
government,-0.34762
grade,-0.22701
gradually,-0.31231
graduate,0.16986
grains,-0.06617
grams,-0.01436
grant,-0.01436
grants,-0.11198
gray,-0.67085
great,-0.12963
greater,-0.05367
greatest,-0.1924
greatly,-0.67085
greece,-0.13369
green,-0.11281
greenland,-0.13369
grenada,-0.10114
grenadines,-0.10114
grew,0.11151
ground,0.06997
group,-0.22914
groups,-0.11454
grow,-0.40141
growing,-0.18031
growth,-0.26818
guadeloupe,-0.10114
guam,-0.10114
guatemala,-0.10114
guiana,-0.10114
guide,0.06048
guidelines,-0.46916
guinea,-0.1924
gut,-0.13436
guyana,-0.10114
gynecologists,-0.49528
gynecology,0.11193
habit,-0.22701
habits,-0.22893
hadn,0.14469
hair,-0.37014
haiti,-0.10114
half,-0.19722
hallucinations,-0.19137
hand,-0.29525
handful,-0.59364
hands,-0.34496
happen,-0.14701
happened,-0.19397
happens,-0.26715
happy,-0.02229
hard,-0.13433
harder,-0.19344
harm,0.07773
harmful,-0.25342
harvard,-0.32908
hasn,-0.4554
haven,-0.27477
hdl,-0.01436
head,-0.05688
headache,-0.09017
headaches,0.02397
heads,-0.76885
heal,0.11172
healing,-0.06617
health,-0.2032
healthcare,-0.571
healthday,-0.20749
healthier,-0.19397
healthy,-0.05963
heard,-0.19344
hearing,-0.25955
heart,-0.19364
heat,-0.06602
heavy,-0.41662
height,-0.59095
held,0.0043
helena,-0.10114
help,-0.07863
helped,-0.31328
helpful,-0.5991
helping,-0.08852
helps,-0.15587
herbal,-0.67085
herzegovina,-0.10114
high,-0.16524
higher,-0.20711
highest,-0.40979
highlights,-0.70598
highly,-0.27133
hill,-0.50126
hip,0.14075
history,-0.06872
hit,-0.3213
hiv,-0.33075
hold,-0.29434
holding,-0.59095
holds,-0.03585
holy,0.18445
home,-0.06921
honduras,-0.10114
hong,-0.06617
hope,0.00326
hoped,-0.93771
hopeful,0.03182
hopefully,-0.11198
hopes,-0.08852
hoping,-0.19344
hopkins,-0.28048
hormonal,-0.31231
hormone,-0.09934
hormones,-0.00952
hospital,-0.23379
hospitalizations,-0.19137
